id,record_id,table_id,title,description
215,10081420,0,"2004-8-26|Tiarza|Pakistan|Bombing-Explosion|1",""
216,10081421,0,"Parent: 223 Child: 8",""
217,10081422,0,"2004-8-28|Wana|Pakistan|Bombing-Explosion|2",""
218,10081423,0,"Parent: 225 Child: 8",""
219,10081424,0,"2004-10-24|Mandali|Iraq|Armed Assault|50",""
220,10081425,0,"Parent: 227 Child: 87",""
221,10081426,0,"2004-10-25|Baghdad|Iraq|Bombing-Explosion|3",""
222,10081427,0,"Parent: 229 Child: 87",""
223,10081428,0,"2004-10-27|Baghdad|Iraq|Hostage Taking Kidnappin",""
224,10081429,0,"Parent: 231 Child: 87",""
225,10081430,0,"2004-12-3|Baghdad|Iraq|Facility-Infrastructure A",""
226,10081431,0,"Parent: 233 Child: 87",""
227,10081432,0,"2004-12-14|Baghdad|Iraq|Bombing-Explosion|2",""
228,10081433,0,"Parent: 235 Child: 87",""
229,10081434,0,"2004-12-20|Fatha|Iraq|Facility-Infrastructure At",""
230,10081435,0,"Parent: 237 Child: 87",""
231,10081436,0,"2004-12-23|Makin|Pakistan|Bombing-Explosion|1",""
232,10081437,0,"Parent: 239 Child: 8",""
233,10081438,0,"2005-1-4|Baghdad|Iraq|Assassination|2",""
234,10081439,0,"Parent: 241 Child: 87",""
235,10081440,0,"2005-1-10|Baghdad|Iraq|Assassination|2",""
236,10081441,0,"Parent: 243 Child: 87",""
237,10081442,0,"2005-1-11|Tikirit|Iraq|Bombing-Explosion|8",""
238,10081443,0,"Parent: 245 Child: 87",""
239,10081444,0,"2005-1-20|Basra|Iraq|Bombing-Explosion|3",""
240,10081445,0,"Parent: 247 Child: 87",""
241,10081446,0,"2005-1-21|Usifia City|Iraq|Bombing-Explosion|12",""
242,10081447,0,"Parent: 249 Child: 87",""
243,10081448,0,"2005-3-3|Baghdad|Iraq|Assassination|9",""
244,10081449,0,"Parent: 251 Child: 87",""
245,10081450,0,"2005-3-7|Balad|Iraq|Bombing-Explosion|16",""
246,10081451,0,"Parent: 253 Child: 87",""
247,10081452,0,"2005-3-7|Baqubah|Iraq|Bombing-Explosion|11",""
248,10081453,0,"Parent: 255 Child: 87",""
249,10081454,0,"2005-3-20|Samarra|Iraq|Bombing-Explosion|1",""
250,10081455,0,"Parent: 257 Child: 87",""
251,10081456,0,"2005-4-10|Najaf|Iraq|Hostage Taking Kidnapping|1",""
252,10081457,0,"Parent: 259 Child: 87",""
253,10081458,0,"2005-4-14|Baghdad|Iraq|Bombing-Explosion|20",""
254,10081459,0,"Parent: 261 Child: 87",""
255,10081460,0,"2005-4-15|Baghdad|Iraq|Bombing-Explosion|1",""
256,10081461,0,"Parent: 263 Child: 87",""
257,10081462,0,"2005-4-23|Abu Ghraib|Iraq|Bombing-Explosion|10",""
258,10081463,0,"Parent: 265 Child: 87",""
259,10081464,0,"2005-4-24|Tikrit|Iraq|Bombing-Explosion|6",""
260,10081465,0,"Parent: 267 Child: 87",""
261,10081466,0,"2005-4-30|Baghdad|Iraq|Bombing-Explosion|",""
262,10081467,0,"Parent: 269 Child: 87",""
263,10081468,0,"2005-4-30|Baghdad|Iraq|Bombing-Explosion|3",""
264,10081469,0,"Parent: 271 Child: 87",""
265,10081470,0,"2005-5-1|Baghdad|Iraq|Bombing-Explosion|4",""
266,10081471,0,"Parent: 273 Child: 87",""
267,10081472,0,"2005-5-2|Baghdad|Iraq|Bombing-Explosion|3",""
268,10081473,0,"Parent: 275 Child: 87",""
269,10081474,0,"2005-5-6|Unknown|Iraq|Hostage Taking Kidnapping|",""
270,10081475,0,"Parent: 277 Child: 87",""
271,10081476,0,"2005-5-7|Baghdad|Iraq|Bombing-Explosion|22",""
272,10081477,0,"Parent: 279 Child: 87",""
273,10081478,0,"2005-5-10|Ramadi|Iraq|Hostage Taking Barricade I",""
274,10081479,0,"Parent: 281 Child: 87",""
275,10081480,0,"2005-5-12|Baghdad|Iraq|Bombing-Explosion|15",""
276,10081481,0,"Parent: 283 Child: 87",""
277,10081482,0,"2005-5-12|Baghdad|Iraq|Assassination|1",""
278,10081483,0,"Parent: 285 Child: 87",""
